playerID,name,position,gradYear,phoneNumber,jerseyNumber,teamID
74,Willa Gornall,Midfielder,2029,688-460-9196,8,4
75,Jacquelyn Verner,Forward,2028,610-583-0734,66,2
76,Rodrique Ellif,Goalkeeper,2025,714-417-0925,15,2
77,Delly Baraja,Goalkeeper,2025,342-195-5456,65,1
78,Viole Baack,Forward,2027,342-342-2879,18,3
79,Ode Benninck,Goalkeeper,2029,203-815-8676,2,4
80,Adolpho Fellow,Forward,2025,620-845-5521,40,1
81,Asher Fearnill,Forward,2027,605-508-2146,71,5
82,Maren Aberdein,Defender,2025,221-785-4639,64,5
83,Amy Colenutt,Defender,2025,698-924-4900,77,4
84,Filbert Mayger,Goalkeeper,2026,293-140-0693,65,2
85,Dona Girton,Forward,2028,176-741-1071,82,2
86,Lorraine Hallagan,Defender,2025,727-992-6353,61,6
87,Kaycee Siggens,Defender,2028,646-870-5553,98,1
88,Clerissa Burch,Forward,2026,139-529-0917,4,2
89,Donielle Geistbeck,Defender,2028,336-359-2830,89,1
90,Shelia Fazan,Goalkeeper,2027,733-105-8739,53,4
91,Janel Bollam,Forward,2025,937-383-6131,24,1
92,Lynn Kreutzer,Defender,2028,198-393-8786,34,4
93,Monah Prodrick,Goalkeeper,2029,638-723-9394,28,6
94,Kristine Vellender,Midfielder,2026,850-678-9507,44,3
95,Read Howells,Defender,2027,770-387-9983,56,1
96,Thomas Roberson,Midfielder,2028,532-592-4352,15,4
